Price,Close,High,Low,Open,Volume,Return,SMA20,SMA50,Signal,Strategy_Return,Market_Cumulative,Strategy_Cumulative
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,
Date,,,,,,,,,,,,
2023-03-21,156.86093139648438,156.9791040860205,154.16253977805687,154.93070734117964,73938300,0.011944145220929236,148.88247146606446,144.8884764099121,1,0.011944145220929236,0.8815396839743368,0.8093856204446441
2023-03-22,155.43295288085938,159.67749219321786,155.41325242402124,156.88062840402722,75701800,-0.009103468294572425,149.32169876098632,145.43757720947266,1,-0.009103468294572425,0.873514615410869,0.8020174041108434
2023-03-23,156.51625061035156,159.09646969740976,155.28523492873595,156.41777837205046,67622100,0.00696954995330068,149.79096298217775,145.9969369506836,1,0.00696954995330068,0.8796026191579134,0.8076071044722105
2023-03-24,157.81619262695312,157.90482213956633,155.45264879499626,156.44730394409444,59196500,0.008305476342119755,150.45767974853516,146.52801666259765,1,0.008305476342119755,0.886908137901796,0.8143146661721323
2023-03-27,155.87611389160156,158.32830230982592,155.47233717929535,157.5109061704178,52390300,-0.012293280575698118,150.96781311035156,147.02186798095704,1,-0.012293280575698118,0.8760051273176993,0.8043040675039723
2023-03-28,155.2556915283203,156.08294548571627,153.61105638332387,155.57083875533723,45992200,-0.0039802272958427976,151.47203674316407,147.47676177978516,1,-0.0039802272958427976,0.8725184277986512,0.8011027545003356
2023-03-29,158.3283233642578,158.60406968566105,156.929891297985,156.94957673019417,51305700,0.019790783872016826,152.2332977294922,147.96990142822267,1,0.019790783872016826,0.8897862514275662,0.8169572059739292
2023-03-30,159.89413452148438,160.0024644815908,158.82069266127598,159.07673846378026,49501700,0.009889646551894504,153.04330673217774,148.50871459960936,1,0.009889646551894504,0.89858592296092,0.8250366239890347
2023-03-31,162.39556884765625,162.49405610459849,159.45098920585787,159.97293860815142,68749800,0.015644315744651527,153.72627334594728,149.09637634277342,1,0.015644315744651527,0.9126436848634197,0.8379437574356204
2023-04-03,163.6462860107422,163.76445869825218,161.7259047034759,161.77514833228696,56976200,0.007701670507150649,154.33390197753906,149.65792083740234,1,0.007701670507150649,0.9196725658146696,0.8443973241589133
2023-04-04,163.11447143554688,164.3060859426903,162.6023648150906,164.0697406002056,46278300,-0.003249780903432198,155.0247459411621,150.14511016845702,1,-0.003249780903432198,0.9166838314728746,0.8416532178599524
2023-04-05,161.27285766601562,162.54327395468036,159.3426339632527,162.23798454444034,51511700,-0.011290315036571963,155.56097412109375,150.56754089355468,1,-0.011290315036571963,0.906334182226614,0.832150687878769
2023-04-06,162.15921020507812,162.45465692468338,159.5396056660462,159.96306777674639,45390100,0.005495980860574123,156.25379028320313,151.02087463378905,1,0.005495980860574123,0.9113153775454156,0.8367241721324643
